part_number,manufacturer,sell_price,quantity_available,margin_percent,cost_price,cert available,leadtime
10164-4,,0,0,,,Mfg CoC,
123423-3-2,,0,0,,,Mfg CoC,
1728B,,0.29,0,,,Mfg CoC,3 weeks
2310025,,0,0,,,Mfg CoC,
2499859-501,,4.07,0,,,Mfg CoC,3 weeks
26S8-5,,3.64,0,,,Mfg CoC,3 weeks
322337,,2.57,10,,,Mfg CoC,3 weeks
328,,0,0,,,Mfg CoC,
3D0006-3,,0.93,0,,,Mfg CoC,3 weeks
3D0039-18,,0.42,0,,,Mfg CoC,3 weeks
3D0041-1,,8.29,0,,,Mfg CoC,3 weeks
3D0049-6,,0,0,,,Mfg CoC,
3D0059-4-1,,0.83,0,,,Mfg CoC,3 weeks
3D0063-5AC,,3.64,0,,,Mfg CoC,3 weeks
3D0063-7AS,,1.68,0,,,Mfg CoC,3 weeks
3D0096-6,,0.45,0,,,Mfg CoC,3 weeks
3D0098-6-4,,0.68,0,,,Mfg CoC,3 weeks
4002-0S,,3.25,0,,,Mfg CoC,3 weeks
40G15-160S,,6.54,0,,,Mfg CoC,3 weeks
4551,,0,0,,,Mfg CoC,
AA55487-4,,0.67,0,,,Mfg CoC,3 weeks
ABMS-A,,0,0,,,Mfg CoC,
AN310C3,,0,0,,,Mfg CoC,
AN320C4,,3.27,0,,,Mfg CoC,3 weeks
AN3C3A,,0.79,0,,,Mfg CoC,3 weeks
AN960-10L,,0.04,0,,,Mfg CoC,3 weeks
AN970-3,,0.06,30,,,Mfg CoC,3 weeks
AN970-4,,0.11,50,,,Mfg CoC,3 weeks
AS15001-4P,,2.96,0,,,Mfg CoC,3 weeks
AS1655A32,,0,0,,,Mfg CoC,
AS1895-7-350,,28.6,855,,,Mfg CoC,With Stock
AS1895-7-400,,0,0,,,Mfg CoC,
AS1895-7-550,,43.66,48,,,Mfg CoC,With Stock
AS3208-18,,0,0,,,Mfg CoC,
AS3209-016,,0.27,61,,,Mfg CoC,3 weeks
AS3209-153,,1.17,271,,,Mfg CoC,3 weeks
AS3209-220,,0.38,0,,,Mfg CoC,3 weeks
AS3209-236,,0,0,,,Mfg CoC,
AS3578-226,,0.4,100,,,Mfg CoC,3 weeks
AS3582-028,,0.7,0,,,Mfg CoC,3 weeks
AS3582-243,,1.27,10,,,Mfg CoC,3 weeks
AS43013-120,,0.59,537,,,Mfg CoC,With Stock
AS43013-124,,1.56,253,,,Mfg CoC,With Stock
AS43013-155,,3.73,15,,,Mfg CoC,3 weeks
AS62202,,9.15,181,,,Mfg CoC,With Stock
ASNA0082-203,,4.15,0,,,Mfg CoC,3 weeks
BACB30FN5A4,,0.84,0,,,Mfg CoC,3 weeks
BACB30LE5U15,,4.65,0,,,Mfg CoC,3 weeks
BACB30LH2-3,,0.73,0,,,Mfg CoC,3 weeks
BACB30LH2-4,,0.79,0,,,Mfg CoC,3 weeks
BACB30LH2-5,,1.4,0,,,Mfg CoC,3 weeks
BACB30LH3-11,,3.37,0,,,Mfg CoC,3 weeks
BACB30LH3-3,,0,0,,,Mfg CoC,
BACB30LH3-4,,0,0,,,Mfg CoC,
BACB30LH3-5,,0,0,,,Mfg CoC,
BACB30LH3-6,,0.79,0,,,Mfg CoC,3 weeks
